id,price,qty,quote_qty,time,is_buyer_maker,amount,open,high,low,close,volume
904955367,0.8818,13608.0,11999.5344,2023-12-25 15:07:47,False,13608.0,0.8862,0.8862,0.8862,0.8818,13608.0
904964701,0.8883,190.0,168.777,2023-12-25 15:18:14,False,190.0,0.8818,0.8818,0.8818,0.8883,190.0
904972083,0.8949,10095.0,9034.0155,2023-12-25 15:23:05,False,10095.0,0.8883,0.8883,0.8883,0.8949,10095.0
904980905,0.8963,7806.0,6996.5178,2023-12-25 15:31:48,False,7806.0,0.8949,0.8949,0.8949,0.8963,7806.0
904989129,0.8925,8405.0,7501.4625,2023-12-25 15:40:16,False,8405.0,0.8963,0.8963,0.8963,0.8925,8405.0
904997167,0.8935,2782.0,2485.717,2023-12-25 15:49:56,True,2782.0,0.8925,0.8925,0.8925,0.8935,2782.0
905005739,0.8955,1051.0,941.1705,2023-12-25 16:01:51,False,1051.0,0.8935,0.8935,0.8935,0.8955,1051.0
905013683,0.8974,3871.0,3473.8354,2023-12-25 16:09:43,False,3871.0,0.8955,0.8955,0.8955,0.8974,3871.0
905022363,0.8974,2000.0,1794.8,2023-12-25 16:17:05,True,2000.0,0.8974,0.8974,0.8974,0.8974,2000.0
905031505,0.897,898.0,805.506,2023-12-25 16:24:47,False,898.0,0.8974,0.8974,0.8974,0.897,898.0
905040382,0.9008,4058.0,3655.4464,2023-12-25 16:32:47,True,4058.0,0.897,0.897,0.897,0.9008,4058.0
905048444,0.895,477.0,426.915,2023-12-25 16:39:59,True,477.0,0.9008,0.9008,0.9008,0.895,477.0
905053554,0.8912,6200.0,5525.44,2023-12-25 16:41:02,False,6200.0,0.895,0.895,0.895,0.8912,6200.0
905060341,0.8905,7398.0,6587.919,2023-12-25 16:43:36,False,7398.0,0.8912,0.8912,0.8912,0.8905,7398.0
905067884,0.8865,1009.0,894.4785,2023-12-25 16:50:23,True,1009.0,0.8905,0.8905,0.8905,0.8865,1009.0
905074586,0.8896,4170.0,3709.632,2023-12-25 16:57:03,True,4170.0,0.8865,0.8865,0.8865,0.8896,4170.0
905084055,0.8909,398506.0,355028.9954,2023-12-25 17:13:00,True,398506.0,0.8896,0.8896,0.8896,0.8909,398506.0
905089150,0.8929,2857.0,2551.0153,2023-12-25 17:20:15,True,2857.0,0.8909,0.8909,0.8909,0.8929,2857.0
905096463,0.9024,1400.0,1263.36,2023-12-25 17:26:39,False,1400.0,0.8929,0.8929,0.8929,0.9024,1400.0
905105261,0.9076,461.0,418.4036,2023-12-25 17:29:11,True,461.0,0.9024,0.9024,0.9024,0.9076,461.0
905114647,0.9057,71.0,64.3047,2023-12-25 17:34:51,False,71.0,0.9076,0.9076,0.9076,0.9057,71.0
